Most recent sessions as of 2023-06-17 16:14:11.406644
User,In,Out,Net,Chips in play,Contact
stepdealer,200.0,204.4,4.400000000000006,0.0,@sunghomoon
roshan1,80.0,0.0,-80.0,0.0,roshan_
Zubin,414.0,280.4,-133.60000000000002,243.6,@zubin-mukerjee
zanezoki,20.0,0.0,-20.0,0.0,venmo/cashapp/paypal: @zokizane
wabadaba,60.0,0.0,-60.0,14.7,venmo: samuelchen04
hifive1278,50.0,4.4,-45.6,0.0,@Matthew-Neissen
Broleg,20.0,62.1,42.1,0.0,Oleg-laskov

Zubin,20.0,20.0,0.0,,@zubin-mukerjee
End time:,2023-06-17 13:20:08

Zubin,20.0,20.0,0.0,,@zubin-mukerjee
End time:,2023-06-17 12:34:36

Hands played: 417
Hands played last session: 0
Hands played the session prior: 0
